헝셩그룹	624	900270
오가닉티코스메틱	584	900300
컬러레이	1930	900310
윙입푸드	1410	900340
신라섬유	2065	001000
무림SP	3125	001810
이화공영	5780	001840
피에스텍	4555	002230
삼일기업공사	4335	002290
한탑	2880	002680
신신제약	9510	002800
대주산업	2260	003310
하림지주	8900	003380
대륙제관	5020	004780
동국산업	3480	005160
푸드웰	7780	005670
한일사료	1795	005860
국영지앤엠	3095	006050
대양제지	3260	006580
서부T&D	8470	006730
보성파워텍	2010	006910
모헨즈	4800	006920
진양제약	6780	007370
네이처셀	9780	007390
대명소노시즌	1205	007720
에스엠코어	7880	007820
원풍물산	2510	008290
부스타	5550	008470
포스코엠텍	4875	009520
삼보산업	2255	009620
대한광통신	4105	010170
흥국	5910	010240
쌍용정보통신	1440	010280
오리콤	6070	010470
형지I&C	1735	011080
유니크	9450	011320
서한	1590	011370
뉴인텍	3995	012340
리드코프	6770	012700
모베이스전자	2930	012860
동원개발	5190	013120
아진산업	3155	013310
청보산업	9770	013720
아가방컴퍼니	3500	013990
원익큐브	1865	014190
광림	1720	014200
부방	2710	014470
성광벤드	7440	014620
오리엔탈정공	2570	014940
삼륭물산	9500	014970
코콤	7100	015710
성우하이텍	7090	015750
큐캐피탈	554	016600
카스	2425	016920
신원종합개발	5250	017000
인터엠	1450	017250
삼현철강	4140	017480
세명전기	4170	017510
대림제지	9900	017650
유니슨	5120	018000
브이티지엠피	8660	018290
우진비앤지	2815	018620
바른손	3010	018700
베뉴지	1840	019010
와이지-원	6640	019210
일지테크	4370	019540
SBI인베스트먼트	1320	019550
리더스 기술투자	560	019570
엠벤처투자	1060	019590
글로본	4610	019660
서연탑메탈	9360	019770
대신정보통신	1920	020180
시공테크	5400	020710
대호피앤씨	856	021040
에이티넘인베스트	2615	021080
KCC건설	9360	021320
한국큐빅	4330	021650
포스코 ICT	8290	022100
정산애강	1940	022220
태광	7670	023160
유진기업	5020	023410
제일제강	2780	023440
CNH	2375	023460
한국캐피탈	592	023760
동일철강	5590	023790
흥구석유	7510	024060
한일단조	1910	024740
유성티엔에스	3005	024800
KBI메탈	1895	024840
피에스엠씨	1575	024850
케이피에프	5490	024880
경창산업	2915	024910
PN풍년	4170	024940
삼천리자전거	8980	024950
시노펙스	4100	025320
대성엘텍	1300	025440
한국선재	3540	025550
케이씨피드	2355	025880
아난티	8610	025980
특수건설	7200	026150
광진실업	4715	026910
서울전자통신	956	027040
코리아나	4865	027050
아주IB투자	4590	027360
상보	1285	027580
팜스토리	1215	027710
대성창투	2040	027830
릭스솔루션	554	029480
코엔텍	9190	029960
드래곤플라이	2450	030350
원익홀딩스	6170	030530
아이즈비전	3915	031310
에스에이엠티	2405	031330
오스템	2950	031510
엔에스엔	1350	031860
아즈텍WB	2010	032080
삼일	2040	032280
피델릭스	1325	032580
유비케어	9440	032620
소프트센	1985	032680
판타지오	850	032800
우리기술	1305	032820
원익	4870	032940
바이온	1410	032980
제이엠아이	1110	033050
제룡전기	5530	033100
디지틀조선	3040	033130
시그네틱스	847	033170
인성정보	3060	033230
코웰패션	5580	033290
제이씨현시스템	9260	033320
좋은사람들	1465	033340
블루콤	5390	033560
티비씨	1090	033830
조아제약	5070	034940
인터파크	2310	035080
프럼파스트	4730	035200
기산텔레콤	2690	035460
솔본	5820	035610
바른손이앤에이	1480	035620
이지홀딩스	5810	035810
서희건설	1705	035890
예림당	2915	036000
아비코전자	8140	036010
KTH	6030	036030
위지트	1945	036090
SCI평가정보	4425	036120
라이브파이낸셜	1915	036170
유니셈	8750	036200
SFA반도체	5780	036540
영풍정밀	8150	036560
버추얼텍	714	036620
KCI	9930	036670
코맥스	5760	036690
심텍홀딩스	2725	036710
주성엔지니어링	8150	036930
파워넷	6290	037030
한국팩키지	5750	037230
인지디스플레	3615	037330
성도이엔지	5150	037350
우리조명	2185	037400
쎄니트	1745	037760
엘컴텍	1545	037950
제일테크노스	7790	038010
루멘스	3070	038060
에코플라스틱	2205	038110
UCI	2295	038340
바이오스마트	7280	038460
삼표시멘트	4010	038500
골드퍼시픽	1400	038530
상상인	6890	038540
위즈코프	1430	038620
에스넷	7230	038680
에코바이오	10000	038870
아이에이	1245	038880
파인디지털	8210	038950
현대통신	9040	039010
이건홀딩스	2920	039020
세중	2840	039310
한국경제TV	6390	039340
케이엘넷	2780	039420
한국정보공학	3850	039740
나노엔텍	8430	039860
리노스	1205	039980
누리텔레콤	9090	040160
YTN	4000	040300
큐로컴	1865	040350
SG&G	2350	040610
인프라웨어	2205	041020
우리기술투자	5790	041190
한국전자인증	6270	041460
젬백스지오	781	041590
케이피엠테크	3020	042040
에스씨디	1645	042110
비츠로테크	9150	042370
링네트	7610	042500
라온시큐어	3420	042510
상지카일룸	1160	042940
큐브앤컴퍼니	1435	043090
파루	2740	043200
에이치엘비파워	1310	043220
성호전자	1500	043260
케이맥	2990	043290
에쎈테크	1185	043340
디지아이	2590	043360
평화정공	10000	043370
지니뮤직	3745	043610
서울리거	1000	043710
자연과환경	1385	043910
KD	1275	044180
경남바이오파마	3300	044480
에이치케이	1865	044780
이글벳	9760	044960
오공	5020	045060
성우테크론	4975	045300
대아티아이	6240	045390
코다코	1340	046070
한일네트웍스	5090	046110
오르비텍	5240	046120
백금T&A	3155	046310
삼화네트웍스	2150	046390
우원개발	6660	046940
우리로	1655	046970
한빛소프트	3370	047080
파워로직스	9440	047310
코데즈컴바인	2585	047770
초록뱀	2005	047820
대동스틸	5130	048470
SM C&C	1600	048550
TPC	4180	048770
엔피케이	2035	048830
시너지이노베이션	3375	048870
대원미디어	8790	048910
기가레인	2880	049080
파인디앤씨	1740	049120
SGA	855	049470
오픈베이스	3315	049480
잉크테크	4200	049550
재영솔루텍	1080	049630
고려신용정보	5900	049720
휘닉스소재	1165	050090
캠시스	2910	050110
에스폴리텍	5680	050760
아세아텍	3225	050860
토비스	8150	051360
큐로홀딩스	606	051780
센트럴바이오	2730	051980
에스티큐브	9870	052020
iMBC	6820	052220
오성첨단소재	4730	052420
아이크래프트	4325	052460
한네트	6480	052600
제일바이오	7690	052670
아이앤씨	4590	052860
KMH하이텍	1645	052900
지에스이	1690	053050
세동	2070	053060
구영테크	1750	053270
한국정보인증	7950	053300
세코닉스	7360	053450
한국테크놀로지	1030	053590
삼보모터스	7820	053700
경남제약	8040	053950
오상자이엘	9260	053980
한국컴퓨터	2980	054040
삼진엘앤디	4465	054090
메디콕스	1700	054180
이랜텍	9140	054210
팬스타엔터프라이즈	717	054300
삼영엠텍	5510	054540
APS홀딩스	7500	054620
에이디칩스	970	054630
한컴위드	8050	054920
엑사이엔씨	1475	054940
유진로봇	3155	056080
신화인터텍	3285	056700
YBM넷	7890	057030
옴니시스템	2430	057540
티사이언티픽	3865	057680
필로시스헬스케어	1970	057880
KNN	2295	058400
에스피지	9670	058610
엠게임	6490	058630
CMG제약	5880	058820
아이컴포넌트	6050	059100
아진엑스텍	6030	059120
메타바이오메드	2885	059210
이그잭스	1590	060230
룽투코리아	4750	060240
뉴보텍	1710	060260
큐렉소	8410	060280
3S	2245	060310
KT서브마린	5400	060370
국일신동	3960	060480
에스에이티	2635	060540
홈센타홀딩스	1090	060560
드림어스컴퍼니	5300	060570
씨티씨바이오	7680	060590
대한그린파워	1035	060900
피피아이	6900	062970
서울옥션	7690	063170
SM Life Design	2120	063440
한국전자금융	5640	063570
에프앤리퍼블릭	500	064090
