스튜디오산타클로스	2230	204630
지엘팜텍	1400	204840
셀바스헬스케어	2540	208370
썸에이지	1355	208640
바이오로그디바이스	1640	208710
퓨쳐스트림네트웍스	1060	214270
세미콘라이트	1400	214310
디알텍	1445	214680
이디티	801	215090
토박스코리아	1170	215480
이노인스트루먼트	2230	215790
러셀	2965	217500
디딤	2145	217620
MP한강	1295	219550
쎄노텍	2175	222420
마이더스AI	682	222810
케이엠제약	2950	225430
패션플랫폼	1350	225590
본느	2415	226340
이엑스티	2580	226360
한송네오텍	1760	226440
모비스	2575	250060
예선테크	2540	250930
자비스	2785	254120
SG	2080	255220
포인트엔지니어링	2775	256630
덴티스	1810	261200
이랜시스	2205	264850
시스웍	2135	269620
지엔원에너지	2550	270520
와이즈버즈	1805	273060
인산가	1980	277410
레이크머티리얼즈	2660	281740
한국제7호스팩	2040	291210
알로이스	2895	297570
지니틱스	2540	303030
네온테크	2875	306620
오하임아이엔티	2545	309930
애니플러스	1550	310200
TS트릴리온	2720	317240
코퍼스코리아	2480	322780
엠에프엠코리아	2090	323230
비올	2520	335890
크리스탈신소재	1705	900250
글로벌에스엠	558	900070
KR모터스	1105	000040
성창기업지주	2320	000180
대유플러스	782	000300
롯데손해보험	1750	000400
LS네트웍스	2710	000680
보해양조	944	000890
페이퍼코리아	2480	001020
국보	1865	001140
GS글로벌	2265	001250
상상인증권	1125	001290
SG충방	2220	001380
대한전선	1410	001440
SK증권	881	001510
동양	1215	001520
케이비아이동국실업	721	001620
SH에너지화학	1020	002360
삼익악기	1445	002450
오리엔트바이오	1390	002630
신일전자	1910	002700
보락	2545	002760
진흥기업	2870	002780
대유에이텍	870	002880
동양물산	1510	002900
에이프로젠제약	1335	003060
유화증권	2340	003460
유안타증권우	2555	003475
한화투자증권	2625	003530
IHQ	1575	003560
방림	1925	003610
삼영화학	2640	003720
SG세계물산	616	004060
태양금속	1135	004100
동방	2265	004140
티웨이홀딩스	1055	004870
씨아이테크	886	004920
부산주공	716	005030
한창	1490	005110
신성통상	1740	005390
한국전자홀딩스	949	006200
대원전선	1575	006340
인스코비	2225	006490
일신석재	1990	007110
벽산	2700	007210
한국특수형강	1930	007280
에이프로젠 KIC	2105	007460
태평양물산	2000	007980
사조동아원	979	008040
NI스틸	2700	008260
윌비스	1390	008600
동양철관	1195	008970
SIMPAC	2580	009160
무림페이퍼	2700	009200
신원	1475	009270
참엔지니어링	1450	009310
대우부품	2765	009320
한창제지	2340	009460
엔케이물산	596	009810
우리종금	542	010050
한솔PNS	1885	010420
웰바이오텍	2650	010600
화천기계	2680	010660
퍼스텍	2230	010820
에넥스	1300	011090
유니켐	1390	011330
갤럭시아에스엠	1485	011420
한신기계	1625	011700
DB	835	012030
영흥	1195	012160
영화금속	2380	012280
대창	1635	012800
일성건설	1405	013360
화승알앤에이	2375	013520
대영포장	1625	014160
성문전자	1860	014910
인디에프	1560	014990
이스타코	685	015020
에이엔피	1840	015260
큐로	634	015590
대현	1845	016090
웅진	1120	016880
광명전기	2070	017040
광전자	2370	017900
조일알미늄	609	018470
동원금속	761	018500
티에이치엔	2850	019180
서원	2790	021050
WISCOM	2885	024070
대원화성	1755	024890
덕양산업	1850	024900
제이준코스메틱	2370	025620
한솔홈데코	2380	025750
이구산업	2035	025820
마니커	688	027740
세하	1835	027970
콤텍시스템	1510	031820
체시스	2285	033250
한국토지신탁	2055	034830
주연테크	1095	044380
KTcs	2220	058850
KTis	2615	058860
대호에이엘	2585	069460
코아스	1130	071950
엔케이	1190	085310
한화생명	2655	088350
평화산업	1210	090080
메타랩스	1000	090370
세원셀론텍	2980	091090
티웨이항공	2545	091810
KEC	2945	092220
웅진씽크빅	2775	095720
진양홀딩스	2780	100250
SBS미디어홀딩스	1870	101060
쌍방울	618	102280
우리들휴브레인	2805	118000
화인베스틸	2785	133820
세화아이엠씨	582	145210
케이탑리츠	1175	145270
금호에이치티	2630	214330
